pulls output
0 36.229 0.998383601063636
100 36.520 0.9983623697339561
200 36.814 0.9983527667501825
300 36.342 0.9983070898262217
400 36.713 0.9983111568914873
500 37.734 0.9982567801304588
600 36.836 0.9983595451136423
700 37.158 0.9983413867591716
800 37.105 0.9983081897404196
900 37.155 0.9983066326939555
1000 37.374 0.9982323146863402
1100 37.716 0.9982054202392097
1200 37.901 0.9981882039699714
1300 38.319 0.9983160558938607
1400 37.673 0.9983112167023714
1500 38.107 0.998267270923521
1600 37.654 0.9982548012669017
1700 38.702 0.9982278415537421
1800 38.073 0.9982169858516815
1900 37.983 0.9982039983780948
2000 38.624 0.9981950572856041
2100 38.629 0.9981638973800228
2200 39.613 0.9981463893232025
2300 38.168 0.9982662254648978
2400 38.277 0.9982686229766427
2500 38.310 0.998230279050676
2600 39.430 0.9982057262101822
2700 38.515 0.9981785043372408
2800 38.764 0.9981478937038439
2900 39.172 0.9981254319377719
3000 38.939 0.9982671327997238
3100 38.580 0.9982386480700152
3200 38.555 0.9982265141722316
3300 39.446 0.998194187898267
3400 38.682 0.9981744234155567
3500 39.029 0.998142253486616
3600 39.794 0.9981312064100841
3700 39.807 0.998245563256573
3800 40.132 0.9981908899976664
3900 40.033 0.9981347299741459
4000 40.381 0.9981180306416108
4100 39.632 0.9982123128341504
4200 39.852 0.9981782781568566
4300 40.074 0.9981270087554028
4400 40.217 0.9980772148856353
4500 40.194 0.9980994524033409
4600 41.166 0.9980871401639753
4700 40.779 0.9980643429206546
4800 40.613 0.9981728606689988
4900 39.914 0.9981676921103498
5000 40.550 0.9981497630834629
5100 39.811 0.9981228785767444
5200 40.034 0.9981150233083769
5300 41.140 0.9980454474800824
5400 41.283 0.998073132865747
5500 40.935 0.9980477089743759
5600 40.150 0.9981936025263065
5700 40.007 0.9981948402886048
5800 40.818 0.9981648846711626
5900 41.004 0.9981437272854463
6000 41.414 0.9981270895653704
6100 41.436 0.9981173755357732
6200 41.616 0.998087882711758
6300 42.309 0.9980626724369628
6400 41.349 0.9980750848597851
6500 40.609 0.9981439147784188
6600 40.731 0.9980885800346692
6700 40.850 0.9980996457133954
6800 41.511 0.9980445655125296
6900 41.871 0.9979989174471435
7000 41.626 0.9979277792281988
7100 42.201 0.9981529019633236
7200 40.922 0.9981126405923743
7300 42.015 0.9980677291054735
7400 41.868 0.9980829370454909
7500 41.930 0.9980035407663215
7600 42.871 0.9979957122636675
7700 41.436 0.9981436293031066
7800 41.469 0.9980714586805108
7900 41.919 0.998074572693603
8000 42.332 0.9980178610324548
8100 42.188 0.9980917279131136
8200 41.988 0.9980844747714764
8300 42.534 0.9980734524797636
8400 42.162 0.9980183412081818
8500 42.665 0.9980125517338642
8600 42.562 0.997970024827658
8700 42.213 0.9981170841205979
8800 42.647 0.9980424861835313
8900 42.688 0.9980560630126144
9000 42.344 0.9980067143394153
9100 42.801 0.9980113132257409
9200 42.872 0.9981291402938713
9300 42.571 0.9980592224319644
9400 43.078 0.9980770625831676
9500 42.862 0.9980632652266305
9600 43.182 0.998028930630029
9700 42.692 0.9979756604461748
9800 42.567 0.9980045394567769
9900 41.816 0.9980912412673205
10000 41.423 0.9981084728082145
